City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,hermanus,ZA,289.15,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,hofn,IS,281.89,clear sky,64.2539,-15.2082,Hótel Höfn
7,jamestown,US,281.92,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
9,severo-kurilsk,RU,283.35,overcast clouds,50.6789,156.125,Kak Doma
11,jaguarao,BR,288.79,clear sky,-32.5661,-53.3758,Hotel Rios
13,kargil,IN,288.06,broken clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
16,punta arenas,CL,281.21,broken clouds,-53.15,-70.9167,Hotel Hain
20,mataura,NZ,282.86,broken clouds,-46.1927,168.8643,Ellie's Villa
22,husavik,IS,283.19,clear sky,66.0449,-17.3389,Bjarnabúð
28,seoul,KR,288.84,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
29,ushuaia,AR,283.96,clear sky,-54.8,-68.3,Albatross Hotel
30,broome,US,282.96,broken clouds,42.2506,-75.833,Chenango Valley State Park
38,new norfolk,AU,281.87,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
43,bluff,NZ,283.04,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
46,hobart,AU,282.07,light intensity shower rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
49,hovd,MN,286.86,clear sky,48.0056,91.6419,Hotel Khovd
52,firovo,RU,283.08,overcast clouds,57.4814,33.7021,Tri Medvedya
56,berlevag,NO,283.15,overcast clouds,70.8578,29.0864,Kvitbrakka
59,parkes,AU,284.97,broken clouds,-33.1333,148.1833,Station Motel
62,kodiak,US,283.88,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn
63,tasiilaq,GL,283.24,broken clouds,65.6145,-37.6368,The Red House
65,geraldton,AU,284.38,clear sky,-28.7667,114.6,Broadwater Mariner Resort
66,hermon,US,285.32,broken clouds,44.8101,-68.9134,Pumpkin Patch RV Resort
67,nantucket,US,288.21,broken clouds,41.2835,-70.0995,Jared Coffin House
72,busselton,AU,287.75,overcast clouds,-33.65,115.3333,Observatory Guest House
74,nikolskoye,RU,285.09,few clouds,59.7035,30.7861,Tourist House - Sablino
77,yellowknife,CA,283.46,scattered clouds,62.456,-114.3525,The Explorer Hotel
78,belle fourche,US,289.31,scattered clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
86,wentzville,US,287.52,overcast clouds,38.8114,-90.8529,Fairfield Inn & Suites by Marriott St. Louis West/Wentzville
88,thompson,CA,281.24,few clouds,55.7435,-97.8558,Burntwood Hotel
