City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,cherskiy,RU,68.75,161.3,273.59,85,20,4.27,few clouds
1,kupang,ID,-10.1667,123.5833,299.47,79,60,4.66,broken clouds
2,hermanus,ZA,-34.4187,19.2345,289.15,52,100,4.18,overcast clouds
3,faanui,PF,-16.4833,-151.75,298.25,77,25,9.79,light rain
4,morondava,MG,-20.2833,44.2833,298.75,77,63,3.93,broken clouds
5,kapaa,US,22.0752,-159.319,297.14,94,75,2.06,broken clouds
6,hofn,IS,64.2539,-15.2082,281.89,77,10,4.57,clear sky
7,jamestown,US,42.097,-79.2353,281.92,51,40,6.17,scattered clouds
8,sinnamary,GF,5.3833,-52.95,303.34,62,0,3.19,clear sky
9,severo-kurilsk,RU,50.6789,156.125,283.35,75,98,2.42,overcast clouds
10,marathon,US,44.9,-89.7668,285.48,80,0,2.57,clear sky
11,jaguarao,BR,-32.5661,-53.3758,288.79,45,0,5.01,clear sky
12,dikson,RU,73.5069,80.5464,273.68,73,46,9.97,scattered clouds
13,kargil,IN,34.5667,76.1,288.06,38,65,3.62,broken clouds
14,whitehorse,CA,60.7161,-135.0538,279.58,60,100,8.75,overcast clouds
15,rikitea,PF,-23.1203,-134.9692,294.96,73,14,3.76,few clouds
16,punta arenas,CL,-53.15,-70.9167,281.21,57,75,7.2,broken clouds
17,biltine,TD,14.5333,20.9167,310.52,13,87,3.03,overcast clouds
18,albany,US,42.6001,-73.9662,283.94,63,11,0.45,few clouds
19,qaanaaq,GL,77.484,-69.3632,267.39,84,94,3.32,overcast clouds
20,mataura,NZ,-46.1927,168.8643,282.86,99,52,0.55,broken clouds
21,georgetown,MY,5.4112,100.3354,300.31,91,20,0.89,few clouds
22,husavik,IS,66.0449,-17.3389,283.19,53,2,4.4,clear sky
23,cururupu,BR,-1.8283,-44.8683,305.38,49,10,3.29,clear sky
24,riyadh,SA,24.6877,46.7219,312.23,10,10,1.53,clear sky
25,saint george,US,37.1041,-113.5841,291.62,59,0,0.0,clear sky
26,pangnirtung,CA,66.1451,-65.7125,274.15,64,20,2.06,few clouds
27,nhulunbuy,AU,-12.2333,136.7667,297.49,88,95,0.0,overcast clouds
28,seoul,KR,37.5683,126.9778,288.84,70,0,2.57,clear sky
29,ushuaia,AR,-54.8,-68.3,283.96,43,0,4.12,clear sky
30,broome,US,42.2506,-75.833,282.96,73,75,8.23,broken clouds
31,havelock,US,34.8791,-76.9013,292.14,57,0,9.26,clear sky
32,mahajanga,MG,-15.7167,46.3167,304.16,40,20,4.12,few clouds
33,manokwari,ID,-0.8667,134.0833,298.95,82,19,1.25,few clouds
34,atuona,PF,-9.8,-139.0333,297.33,81,50,7.06,light rain
35,pilar,BR,-9.5972,-35.9567,302.11,62,59,4.3,broken clouds
36,saravan,AM,39.7196,45.6483,290.45,38,29,1.46,scattered clouds
37,upernavik,GL,72.7868,-56.1549,271.16,70,39,4.97,scattered clouds
38,new norfolk,AU,-42.7826,147.0587,281.87,85,100,0.89,light rain
